data,data1,deg,min,sec,deg,min,sec,deg,min,sec,deg,min,sec
120⁰,V1,42,30,0,89,30,0,47,0,0,47,0,0
120⁰,V2,222,30,0,269,30,0,47,0,0,,,
110⁰,V1,53,30,0,94,30,0,41,0,0,41,0,0
110⁰,V2,233,30,0,274,30,0,41,0,0,,,
100⁰,V1,61,0,0,99,30,0,38,30,0,38,30,0
100⁰,V2,241,0,0,279,30,0,38,30,0,,,
90⁰,V1,67,0,0,104,30,0,37,30,0,37,30,0
90⁰,V2,247,0,0,284,30,0,37,30,0,,,
80⁰,V1,72,30,0,109,30,0,37,0,0,37,15,0
80⁰,V2,252,0,0,289,30,0,37,30,0,,,
70⁰,V1,77,0,0,114,30,0,37,30,0,37,30,0
70⁰,V2,257,0,0,294,30,0,37,30,0,,,
60⁰,V1,80,30,0,119,30,0,39,0,0,39,0,0
60⁰,V2,260,30,0,299,30,0,39,0,0,,,
50⁰,V1,84,0,0,124,30,0,40,30,0,40,30,0
50⁰,V2,264,0,0,304,30,0,40,30,0,,,
