dd,,d,,d,,d,,d,
i,vs,deg,min,deg,min,deg,min,deg,min
30,V1,42,30,89,30,47,0,47,0
,V2,222,30,269,30,47,0,,
,,,,,,,,,
35,V1,53,30,94,30,41,0,41,0
,V2,233,30,274,30,41,0,,
,,,,,,,,,
40,V1,61,0,99,30,38,30,38,30
,V2,241,0,279,30,38,30,,
,,,,,,,,,
45,V1,67,0,104,30,37,30,37,30
,V2,247,0,284,30,37,30,,
,,,,,,,,,
50,V1,72,30,109,30,37,0,37,15
,V2,252,0,289,30,37,30,,
,,,,,,,,,
55,V1,77,0,114,30,37,30,37,30
,V2,257,0,294,30,37,30,,
,,,,,,,,,
60,V1,80,30,119,30,39,0,39,0
,V2,260,30,299,30,39,0,,
,,,,,,,,,
65,V1,84,0,124,30,40,30,40,30
,V2,264,0,304,30,40,30,,
